PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Target
-0.29987335786308744,-0.214944131374502,0.08046947361486867,-0.1791220115814891,0.024283921201255665,-0.932123321052976,0.152756491922442,0.02061854921465485,-0.14553031936622024,Dropout
-0.4720053661318973,-0.3335251476199363,-0.9079353129068684,0.03388445053623668,-0.07747633345715738,0.13043762647168378,0.08352462438307619,-0.19136600458209668,0.1616053240311301,Graduate
-0.37797985132469647,0.5671883615526214,-0.7070698736201881,-0.11534447883003307,0.083509849274574,-0.06170871969331082,-0.14129702223606241,-0.19012891347678312,0.03125311057847896,Dropout
-0.13403971287664362,0.27921292582676727,0.1577652971137119,-0.025263120562112218,-0.5767668225246366,0.07571262378564658,-0.07765788911987467,-0.11374247707006538,-0.05592754389651422,Graduate
-0.13321834235980706,0.23327714405085967,0.03865907715737926,0.4751103870506498,-0.37998563994026663,-0.10240093063339395,0.1158894594438777,0.31458034272988544,0.1745629598500335,Graduate
-0.13858464975403506,0.1978890630681606,0.008428633832242793,0.722131249701954,-0.20044570862005556,0.16004943742847721,0.013527683218055891,0.416545695570626,-0.07812468182780047,Graduate
0.8526131856474484,0.1498563835300892,-0.00804360096957002,0.4050247006620634,0.4020741842230102,0.04739161590582108,0.01656961234124235,-0.11368543145226548,0.006130179481241782,Graduate
-0.3598379207318793,0.4931463989942456,-0.7552705400565847,0.3641684701543316,0.4829452923130917,-0.03013695531226801,-0.16149655157216067,-0.1474108808348551,-0.0998057788040449,Dropout
0.6864988579428277,-0.7468174747210552,-0.27230696638194907,0.25173711358986495,0.04551609303371107,0.02314427052090451,-0.03734200945638899,0.06444206395569922,0.017231167885782106,Graduate
-0.46163118967854705,0.24115784931226839,-0.6675189795024519,-0.4186145257684141,0.10708249767635047,0.15757458874866592,0.02556842241133847,-0.19557626254273391,-0.03441673396228867,Dropout
-0.18669831609858883,-0.22290001826410294,0.022971917277453957,0.3092197876823567,-0.2968967841315144,0.024672024112948887,-0.09048377024248241,-0.10546072069106105,0.04518968727128475,Graduate
0.8223919236636783,0.28069951314597663,0.1048631427202611,0.08703759400286526,0.5306182180359339,0.05744750865726489,-0.015342120051197117,-0.08929720680780143,-0.07422863407542879,Graduate
-0.1625366340860534,0.3752021764074087,0.2659453262134469,0.21289303456783537,0.4543118361691084,-0.14201240949325789,-0.26739013169102166,-0.08674520779117287,0.09688609969352696,Dropout
0.6265189181579904,-0.4596636553546841,-0.027583304959341026,-0.5408734382719615,0.11404167699898277,0.08558284877654554,-0.062354562118779266,0.09119436353655204,-0.13979942185497912,Graduate
0.8093765266083375,0.21700407365890914,0.008558961988959557,-0.09218724830052283,0.00971110973139111,-0.07804895789029564,-0.05378202358987322,-0.07660753115761317,0.11772906133744715,Graduate
