PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Target
-0.31424200602907004,-0.20571879199626175,0.028824046800276393,-0.20665896288323143,0.012864080487097473,-0.8745078424282231,-0.38717862082447957,0.010645810757025545,Dropout
-0.4707087442969127,-0.32917882000880583,-0.8849600950742024,0.09384040995310894,-0.08302126096596496,0.2265580199254006,-0.1065160110674298,-0.18413210702755228,Graduate
-0.3961693295804637,0.5802984625474754,-0.7172724992751937,-0.09268758993501203,0.06795532764051493,-0.06553599652112574,0.09655814324323009,-0.20455679888486267,Dropout
-0.13012498033755815,0.2738436279286836,0.1746582977870047,0.02355243550096675,-0.5762781860249307,0.06709031552678202,0.07253502983954752,-0.12353047640122938,Graduate
-0.13171646890196964,0.2296279751111519,0.0678360735746053,0.5052451695805221,-0.33553533569066835,-0.09467902131030792,-0.10554193619336316,0.32582170248359443,Graduate
-0.13589228087882627,0.19301422509702387,0.050498923228892934,0.738867176490554,-0.13522469868936174,0.11318190327323308,0.08177727507120247,0.42055278996849627,Graduate
0.857113584849549,0.150257558058213,0.007978080002158494,0.36923661938281194,0.4365718097179788,0.04957249267538533,-0.012858138581440526,-0.11175014002473668,Graduate
-0.3771760649697735,0.5056219139390508,-0.7500676329134809,0.35037680852835773,0.5085446561985327,-0.054576158897339466,0.1339696495271726,-0.16561376188575938,Dropout
0.6898590393192823,-0.7416112121501688,-0.27570865191956295,0.2549043695877172,0.06685508577556426,0.00618265395864559,0.04701028460329271,0.05931801740904867,Graduate
-0.46485972514161,0.24579386222462302,-0.6640672224016726,-0.38372155135765423,0.06192200251419344,0.23800728398530524,-0.041605853382846,-0.1956619378699913,Dropout
-0.1814288089484622,-0.2271937724914041,0.043090703130999275,0.3345065325782538,-0.26793660008025066,0.00877334364300375,0.07466497544585593,-0.11586613054853431,Graduate
0.8261938035112344,0.28092149390967663,0.10696368230319309,0.03685863773768849,0.536794617253792,0.06114306968505834,0.013550419250491386,-0.09388450077128636,Graduate
-0.17519229612480602,0.3791120411143896,0.24587864333832077,0.14578180612185232,0.47605166513479824,-0.25498488541968284,0.25019832511048934,-0.10717691837568621,Dropout
0.6287091827671374,-0.4551338629749562,-0.061116592944754244,-0.5483661738111343,0.06534060160301058,0.07932931208394267,0.07639236694129836,0.07985864024970048,Graduate
0.8044608416601773,0.22356615395777607,-0.00941601211911891,-0.09928335455524107,0.0027689528319205237,-0.10537452243085699,0.041258022510630266,-0.07775040078535408,Graduate
-0.1392300620029714,0.25357959633282695,0.1693446955082777,0.4931896436469473,0.37414133362929414,-0.14320425674659898,0.19289030630176918,-0.1006697279254697,Dropout
-0.15346819573860976,0.3446141366368825,0.21982151516804171,0.07354629930418721,-0.07399271782615807,-0.08863437664458895,0.08424791988222602,-0.13743152252390173,Enrolled
-0.25398660204370926,-0.5311142894798866,0.1424556584747937,0.2619484898172789,0.48684262421872493,0.12419750020973841,-0.007725280477909713,-0.09072540201448355,Graduate
-0.2286066147998883,-0.054801058435939354,0.17509688539866353,-0.0629962871925146,-0.012258010453817858,-0.04786821379277029,0.04494896438638296,-0.0731045273482467,Graduate
-0.16385732696670519,-0.27246672371943326,0.03357405342377395,0.5569118402733461,-0.07060173637682943,0.04577803096628441,0.08227822318774303,-0.12199450068000442,Enrolled
0.5844013150035219,-0.5621186934370375,-0.2949038590747902,-0.3876849171669859,-0.03087391293008529,-0.857598435269971,-0.35107744968951254,0.1473862826201761,Graduate
-0.1138637275915454,0.37050077111700436,0.3583936444195165,0.2089618866303502,0.45982564820228766,0.10327021955550908,-0.02402930656192953,-0.16108966082163179,Enrolled
-0.20167433785495248,-0.03026019725059234,0.3020011426447605,0.06980520247303978,0.5246591210690675,0.13700583834607716,-0.02431247915441559,-0.13405022339499637,Graduate
0.8252017977529527,0.2084843720635433,-0.03199358657306395,-0.015051277848517342,-0.15824450159360443,0.025340216650378,0.08494295758239523,-0.06584359074568363,Graduate
-0.19687918999130943,-0.10590027456057663,0.17239654087762724,0.020448948792385235,-0.1712257391296063,0.11809421121463137,0.008629421870505749,-0.10756771079503288,Graduate
0.7807944402274272,0.38533246133848537,0.14169917870570636,-0.4579415322329245,0.1459630542066166,-0.007942694893817381,-0.04376937868149877,-0.0832402034263725,Enrolled
